2016-03-18 15:47:06,071 INFO      [service_mgr.py:57(run)] start child process with command
2016-03-18 15:53:05,482 INFO      [service.py:96(run_forever)] restart child process again, times=30
2016-03-18 15:53:06,495 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:53:07,497 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:53:08,498 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:53:09,499 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:53:10,501 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:53:11,503 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:53:12,505 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:53:13,507 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:53:14,509 INFO      [service.py:106(run_forever)] 2
